Client Destinataire;Client Facturé;Client Porteur;Date Facture;Numéro Facture;Contrat;Badge;Identifiant 1;Identifiant 2;Identifiant 3;Ligne;Date Entrée;Heure Entrée;Société Entrée;Gare Entrée;Ferié/WE; Date Sortie;Heure Sortie; Société Sortie;Gare Sortie;Fact/Avoir;Taux TVA;Montant HT;Montant TVA;Montant TTC;Classe;Renouvellement;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00002;Gomes-VP-06ZZZNCOM;;;Trajet;01/03/2013;13:24;ASF;VIENNE;;01/03/2013;13:55;ASF;VALENCE-S;F;19.60;6.52;1.28;7.80;1;Non;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00002;Gomes-VP-06ZZZNCOM;;;Trajet;01/03/2013;17:23;ASF;VALENCE-S;;01/03/2013;17:54;ASF;VIENNE;F;19.60;6.52;1.28;7.80;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00002;Gomes-VP-06ZZZNCOM;;;Trajet;06/03/2013;07:35;ASF;VIENNE;;06/03/2013;08:12;ASF;VALENCE-S;F;19.60;6.52;1.28;7.80;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00002;Gomes-VP-06ZZZNCOM;;;Trajet;06/03/2013;19:37;ASF;VALENCE-S;;06/03/2013;20:09;ASF;VIENNE;F;19.60;6.52;1.28;7.80;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00002;Gomes-VP-06ZZZNCOM;;;Trajet;10/03/2013;10:00;AREA;ST QUENTIN FAL. BARRIERE;WE;10/03/2013;10:31;AREA;CHAMBERY NORD;F;19.60;9.20;1.80;11.00;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00002;Gomes-VP-06ZZZNCOM;;;Trajet;10/03/2013;10:52;AREA;CHIGNIN BARRIERE ;WE;10/03/2013;11:07;AREA;STE HELENE BARRIERE;F;19.60;4.35;0.85;5.20;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00002;Gomes-VP-06ZZZNCOM;;;Trajet;10/03/2013;18:02;AREA;STE HELENE BARRIERE;WE;10/03/2013;18:17;AREA;CHIGNIN BARRIERE ;F;19.60;4.35;0.85;5.20;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00002;Gomes-VP-06ZZZNCOM;;;Trajet;10/03/2013;18:26;AREA;CHAMBERY NORD;WE;10/03/2013;19:04;AREA;ST QUENTIN FAL. BRETELLE;F;19.60;6.94;1.36;8.30;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00002;Gomes-VP-06ZZZNCOM;;;Trajet;;;APRR;VILLEFRANCHE-VILLE;;11/03/2013;09:07;APRR;VILLEFRANCHE-VILLE;F;19.60;1.92;0.38;2.30;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00002;Gomes-VP-06ZZZNCOM;;;Trajet;;;APRR;VILLEFRANCHE-VILLE;;11/03/2013;10:20;APRR;VILLEFRANCHE-VILLE;F;19.60;1.92;0.38;2.30;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00002;Gomes-VP-06ZZZNCOM;;;Trajet;15/03/2013;07:31;ASF;VIENNE;;15/03/2013;08:03;ASF;VALENCE-S;F;19.60;6.52;1.28;7.80;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00002;Gomes-VP-06ZZZNCOM;;;Trajet;15/03/2013;13:58;ASF;VALENCE-S;;15/03/2013;14:30;ASF;VIENNE;F;19.60;6.52;1.28;7.80;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00002;Gomes-VP-06ZZZNCOM;;;Trajet;26/03/2013;07:29;ASF;VIENNE;;26/03/2013;08:07;ASF;VALENCE-S;F;19.60;6.52;1.28;7.80;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00002;Gomes-VP-06ZZZNCOM;;;Trajet;26/03/2013;18:16;ASF;VALENCE-S;;26/03/2013;18:48;ASF;VIENNE;F;19.60;6.52;1.28;7.80;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00002;Gomes-VP-06ZZZNCOM;;;Trajet;31/03/2013;10:22;AREA;ST QUENTIN FAL. BRETELLE;WE;31/03/2013;11:01;AREA;CHAMBERY NORD;F;19.60;6.94;1.36;8.30;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00002;Gomes-VP-06ZZZNCOM;;;Trajet;31/03/2013;11:10;AREA;CHIGNIN BARRIERE ;WE;31/03/2013;11:24;AREA;STE HELENE BARRIERE;F;19.60;4.35;0.85;5.20;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00002;Gomes-VP-06ZZZNCOM;;;Trajet;31/03/2013;22:19;AREA;STE HELENE BARRIERE;WE;31/03/2013;22:34;AREA;CHIGNIN BARRIERE ;F;19.60;4.35;0.85;5.20;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00002;Gomes-VP-06ZZZNCOM;;;Trajet;31/03/2013;22:42;AREA;CHAMBERY NORD;WE;31/03/2013;23:14;AREA;ST QUENTIN FAL. BRETELLE;F;19.60;6.94;1.36;8.30;1;;
030192868;030192868;030192868;;1303440957;DIAGON'ALPES;TOTAL BADGE P00002;;;;;;;;;;;;;;;;103.42;20.28;123.70;;;

030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00003;SBU-VP-02ZZZNCOM;;;Trajet;05/03/2013;15:45;ASF;VALENCE-S;;05/03/2013;15:56;ASF;TAIN;F;19.60;1.25;0.25;1.50;1;Non;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00003;SBU-VP-02ZZZNCOM;;;Trajet;05/03/2013;17:29;ASF;TAIN;;05/03/2013;17:36;ASF;VALENCE-N;F;19.60;0.59;0.11;0.70;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00003;SBU-VP-02ZZZNCOM;;;Trajet;06/03/2013;16:21;ASF;VALENCE-S;;06/03/2013;16:32;ASF;TAIN;F;19.60;1.25;0.25;1.50;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00003;SBU-VP-02ZZZNCOM;;;Trajet;06/03/2013;18:23;ASF;TAIN;;06/03/2013;18:30;ASF;VALENCE-N;F;19.60;0.59;0.11;0.70;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00003;SBU-VP-02ZZZNCOM;;;Trajet;07/03/2013;17:04;ASF;TAIN;;07/03/2013;17:15;ASF;VALENCE-S;F;19.60;1.25;0.25;1.50;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00003;SBU-VP-02ZZZNCOM;;;Trajet;08/03/2013;16:23;ASF;VALENCE-S;;08/03/2013;16:33;ASF;TAIN;F;19.60;1.25;0.25;1.50;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00003;SBU-VP-02ZZZNCOM;;;Trajet;;;ASF;TAIN;;08/03/2013;17:17;ASF;VALENCE-N;F;19.60;0.59;0.11;0.70;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00003;SBU-VP-02ZZZNCOM;;;Trajet;14/03/2013;15:27;ASF;VALENCE-S;;14/03/2013;15:37;ASF;TAIN;F;19.60;1.25;0.25;1.50;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00003;SBU-VP-02ZZZNCOM;;;Trajet;14/03/2013;16:36;ASF;TAIN;;14/03/2013;16:47;ASF;VALENCE-S;F;19.60;1.25;0.25;1.50;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00003;SBU-VP-02ZZZNCOM;;;Trajet;18/03/2013;14:56;ASF;VALENCE-S;;18/03/2013;15:07;ASF;TAIN;F;19.60;1.25;0.25;1.50;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00003;SBU-VP-02ZZZNCOM;;;Trajet;18/03/2013;16:49;ASF;TAIN;;18/03/2013;17:03;ASF;VALENCE-N;F;19.60;0.59;0.11;0.70;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00003;SBU-VP-02ZZZNCOM;;;Trajet;20/03/2013;18:17;ASF;VALENCE-S;;20/03/2013;18:48;ASF;VIENNE;F;19.60;6.52;1.28;7.80;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00003;SBU-VP-02ZZZNCOM;;;Trajet;;;AREA;SAINT EXUPERY;;20/03/2013;19:13;AREA;SAINT EXUPERY;F;19.60;1.59;0.31;1.90;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00003;SBU-VP-02ZZZNCOM;;;Trajet;;;AREA;SAINT EXUPERY;;25/03/2013;09:33;AREA;SAINT EXUPERY;F;19.60;1.59;0.31;1.90;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00003;SBU-VP-02ZZZNCOM;;;Trajet;25/03/2013;09:57;ASF;VIENNE;;25/03/2013;10:30;ASF;VALENCE-S;F;19.60;6.52;1.28;7.80;1;;
030192868;030192868;030192868;;1303440957;DIAGON'ALPES;TOTAL BADGE P00003;;;;;;;;;;;;;;;;27.33;5.37;32.70;;;

030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;01/03/2013;08:09;AREA;AIX NORD;;01/03/2013;08:17;AREA;CHAMBERY NORD;F;19.60;1.17;0.23;1.40;1;Non;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;04/03/2013;07:04;AREA;AIX NORD;;04/03/2013;07:24;AREA;ALLONZIER;F;19.60;3.18;0.62;3.80;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;04/03/2013;07:47;AREA;ALLONZIER;;04/03/2013;08:13;AREA;CHAMBERY NORD;F;19.60;4.52;0.88;5.40;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;05/03/2013;09:22;AREA;AIX NORD;;05/03/2013;09:30;AREA;CHAMBERY NORD;F;19.60;1.17;0.23;1.40;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;05/03/2013;10:09;AREA;CHAMBERY NORD;;05/03/2013;10:28;AREA;ANNECY CENTRE;F;19.60;3.85;0.75;4.60;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;05/03/2013;14:38;AREA;ANNECY CENTRE;;05/03/2013;14:58;AREA;CHAMBERY NORD;F;19.60;3.85;0.75;4.60;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;06/03/2013;07:04;AREA;AIX NORD;;06/03/2013;07:22;AREA;ALLONZIER;F;19.60;3.18;0.62;3.80;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;06/03/2013;07:34;AREA;ALLONZIER;;06/03/2013;08:02;AREA;CHAMBERY NORD;F;19.60;4.52;0.88;5.40;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;07/03/2013;07:51;AREA;AIX NORD;;07/03/2013;07:59;AREA;CHAMBERY NORD;F;19.60;1.17;0.23;1.40;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;07/03/2013;09:45;AREA;CHAMBERY NORD;;07/03/2013;09:59;AREA;RUMILLY;F;19.60;2.42;0.48;2.90;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;07/03/2013;15:20;AREA;RUMILLY;;07/03/2013;15:36;AREA;CHAMBERY NORD;F;19.60;2.42;0.48;2.90;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;08/03/2013;07:47;AREA;AIX NORD;;08/03/2013;08:01;AREA;ANNECY CENTRE;F;19.60;2.26;0.44;2.70;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;08/03/2013;08:45;AREA;ANNECY CENTRE;;08/03/2013;09:22;AREA;SAINT GENIX SUR GUIERS;F;19.60;5.94;1.16;7.10;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;08/03/2013;10:30;AREA;SAINT GENIX SUR GUIERS;;08/03/2013;10:43;AREA;CHAMBERY NORD;F;19.60;2.68;0.52;3.20;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;08/03/2013;11:45;AREA;AIX SUD;;08/03/2013;12:04;AREA;ANNECY CENTRE;F;19.60;2.76;0.54;3.30;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;08/03/2013;18:04;AREA;ANNECY CENTRE;;08/03/2013;18:26;AREA;CHAMBERY NORD;F;19.60;3.85;0.75;4.60;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;11/03/2013;08:07;AREA;AIX NORD;;11/03/2013;08:14;AREA;CHAMBERY NORD;F;19.60;1.17;0.23;1.40;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;11/03/2013;14:00;AREA;AIX SUD;;11/03/2013;14:05;AREA;CHAMBERY NORD;F;19.60;0.75;0.15;0.90;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;11/03/2013;14:14;SFTRF;AREA/SFTRF;;11/03/2013;14:45;SFTRF;HERMILLON;F;19.60;4.01;0.79;4.80;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;11/03/2013;14:14;AREA;CHIGNIN BARRIERE ;;11/03/2013;14:45;AREA;LIMITE AREA/SFTRF;F;19.60;3.09;0.61;3.70;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;11/03/2013;16:35;SFTRF;HERMILLON;;11/03/2013;16:46;SFTRF;ST PIERRE BELL.;F;19.60;2.42;0.48;2.90;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;11/03/2013;17:40;AREA;AITON;;11/03/2013;17:52;AREA;CHIGNIN BARRIERE ;F;19.60;3.09;0.61;3.70;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;12/03/2013;11:37;AREA;CHIGNIN BARRIERE ;;12/03/2013;11:51;AREA;CROLLES BARRIERE;F;19.60;4.85;0.95;5.80;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;12/03/2013;18:27;AREA;CROLLES BARRIERE;;12/03/2013;18:42;AREA;CHIGNIN BARRIERE ;F;19.60;4.85;0.95;5.80;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;12/03/2013;19:03;AREA;CHAMBERY NORD;;12/03/2013;19:11;AREA;AIX NORD;F;19.60;1.17;0.23;1.40;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;13/03/2013;07:34;AREA;AIX NORD;;13/03/2013;07:48;AREA;ANNECY CENTRE;F;19.60;2.26;0.44;2.70;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;13/03/2013;08:36;AREA;ANNECY CENTRE;;13/03/2013;08:52;AREA;AIX SUD;F;19.60;2.76;0.54;3.30;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;14/03/2013;07:54;AREA;AIX NORD;;14/03/2013;08:08;AREA;ANNECY CENTRE;F;19.60;2.26;0.44;2.70;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;14/03/2013;17:03;AREA;ANNECY CENTRE;;14/03/2013;17:22;AREA;CHAMBERY NORD;F;19.60;3.85;0.75;4.60;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;14/03/2013;18:25;AREA;CHAMBERY NORD;;14/03/2013;18:30;AREA;AIX SUD;F;19.60;0.75;0.15;0.90;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;15/03/2013;07:09;AREA;AIX NORD;;15/03/2013;07:27;AREA;ALLONZIER;F;19.60;3.18;0.62;3.80;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;15/03/2013;07:32;AREA;ALLONZIER;;15/03/2013;07:56;AREA;CHAMBERY NORD;F;19.60;4.52;0.88;5.40;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;15/03/2013;19:27;AREA;CHAMBERY NORD;;15/03/2013;19:31;AREA;AIX SUD;F;19.60;0.75;0.15;0.90;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;18/03/2013;08:02;AREA;AIX NORD;;18/03/2013;08:13;AREA;CHAMBERY NORD;F;19.60;1.17;0.23;1.40;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;18/03/2013;13:29;AREA;AIX NORD;;18/03/2013;13:42;AREA;ANNECY CENTRE;F;19.60;2.26;0.44;2.70;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;18/03/2013;20:13;AREA;ANNECY CENTRE;;18/03/2013;20:27;AREA;AIX NORD;F;19.60;2.26;0.44;2.70;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;19/03/2013;07:41;AREA;AIX NORD;;19/03/2013;07:50;AREA;CHAMBERY NORD;F;19.60;1.17;0.23;1.40;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;19/03/2013;12:40;AREA;CHAMBERY NORD;;19/03/2013;12:44;AREA;AIX SUD;F;19.60;0.75;0.15;0.90;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;19/03/2013;14:00;AREA;AIX SUD;;19/03/2013;14:05;AREA;CHAMBERY NORD;F;19.60;0.75;0.15;0.90;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;19/03/2013;20:01;AREA;CHAMBERY NORD;;19/03/2013;20:05;AREA;AIX SUD;F;19.60;0.75;0.15;0.90;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;20/03/2013;14:01;AREA;CHAMBERY NORD;;20/03/2013;14:46;AREA;ANNECY CENTRE;F;19.60;3.85;0.75;4.60;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;20/03/2013;19:07;AREA;ANNECY CENTRE;;20/03/2013;19:20;AREA;AIX NORD;F;19.60;2.26;0.44;2.70;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;21/03/2013;07:44;AREA;AIX NORD;;21/03/2013;07:52;AREA;CHAMBERY NORD;F;19.60;1.17;0.23;1.40;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;21/03/2013;18:32;AREA;CHAMBERY NORD;;21/03/2013;18:46;AREA;RUMILLY;F;19.60;2.42;0.48;2.90;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;21/03/2013;20:18;AREA;RUMILLY;;21/03/2013;20:25;AREA;AIX NORD;F;19.60;1.00;0.20;1.20;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;22/03/2013;07:56;AREA;AIX NORD;;22/03/2013;08:04;AREA;CHAMBERY NORD;F;19.60;1.17;0.23;1.40;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;22/03/2013;10:42;AREA;CHAMBERY NORD;;22/03/2013;10:46;AREA;AIX SUD;F;19.60;0.75;0.15;0.90;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;22/03/2013;18:23;AREA;CHAMBERY NORD;;22/03/2013;18:31;AREA;AIX NORD;F;19.60;1.17;0.23;1.40;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;25/03/2013;08:34;AREA;AIX SUD;;25/03/2013;08:46;AREA;RUMILLY;F;19.60;1.59;0.31;1.90;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;25/03/2013;10:03;AREA;RUMILLY;;25/03/2013;10:18;AREA;CHAMBERY NORD;F;19.60;2.42;0.48;2.90;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;25/03/2013;10:47;AREA;CHAMBERY NORD;;25/03/2013;11:00;AREA;RUMILLY;F;19.60;2.42;0.48;2.90;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;25/03/2013;18:36;AREA;ANNECY CENTRE;;25/03/2013;18:49;AREA;AIX NORD;F;19.60;2.26;0.44;2.70;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;26/03/2013;07:43;AREA;AIX NORD;;26/03/2013;07:57;AREA;ANNECY CENTRE;F;19.60;2.26;0.44;2.70;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;26/03/2013;19:09;AREA;ANNECY CENTRE;;26/03/2013;19:22;AREA;AIX NORD;F;19.60;2.26;0.44;2.70;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;27/03/2013;07:51;AREA;AIX NORD;;27/03/2013;08:04;AREA;ANNECY CENTRE;F;19.60;2.26;0.44;2.70;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;27/03/2013;12:58;AREA;ANNECY CENTRE;;27/03/2013;13:19;AREA;CHAMBERY NORD;F;19.60;3.85;0.75;4.60;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;28/03/2013;07:50;AREA;AIX NORD;;28/03/2013;08:04;AREA;ANNECY CENTRE;F;19.60;2.26;0.44;2.70;1;;
030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00004;ECA-VU04ZZZSTEC;;;Trajet;28/03/2013;16:53;AREA;ANNECY CENTRE;;28/03/2013;17:15;AREA;CHAMBERY NORD;F;19.60;3.85;0.75;4.60;1;;
030192868;030192868;030192868;;1303440957;DIAGON'ALPES;TOTAL BADGE P00004;;;;;;;;;;;;;;;;143.00;28.00;171.00;;;

030192868;030192868;030192868;08/04/2013;1303440957;DIAGON'ALPES;P00005;TGT-VP-04ZZZNCOM;;;Trajet;04/03/2013;12:53;AREA;SEYNOD SUD;;04/03/2013;13:12;AREA;CHAMBERY NORD;F;19.60;3.01;0.59;3.60;1;Non;
