;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;N° de facture;N° de Relevé Détaillé;Date de facturation;Code filiale;N° client bénéficiaire;RS client bénéficiaire;Division de Parc (code);Division de Parc (libellé);N° de support;Rang;Libellé estampé (immat./nom);Mention complémentaire;Code émetteur;Type de véhicule (libellé);Date de la transaction;Heure de la transaction;Code produit (libellé);Quantité;Montant TTC remise/maj incl.;Montant HTVA remise/maj incl.;Montant TVA remise/maj incl.;Contre-valeur TTC remise/maj incl.;Contre-valeur HTVA remise/maj incl.;Contre-valeur TVA remise/maj incl.;Taux de TVA;Code pays de facturation (libellé);Prix de facturation (unitaire TTC);Code devise du pays de la transaction;Montant forfaitaire de remise;Code et nom de la station;Kilométrage saisi;Référence;Info. additionnelle (message client);Code conducteur;Nom du conducteur
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0143;2;CN589RC;DGZ - VP - 03ZZZNCOM;701001;03-VEHICULE DE TOURISME;30/04/2013;08:00;Péage TVA;1,00;6,10;5,10;1,00;6,10;5,10;1,00;19,60;FRANCE;6,10;EUR;0,00;EA25003005 TOUR PIN;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0139;2;CG858TX;BFN - VU - 03ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;29/04/2013;13:28;Péage TVA;1,00;1,70;1,42;0,28;1,70;1,42;0,28;19,60;FRANCE;1,70;EUR;0,00;EA25003095 TULLINS;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0015;0;AB 659 TX;DCD - VU -03ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;22/04/2013;15:18;Péage TVA;1,00;0,60;0,50;0,10;0,60;0,50;0,10;19,60;FRANCE;0,60;EUR;0,00;EA25003062 VILLEFONT.;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0018;0;AR471YP;FBT - VU - 03ZZZSTEC;701001;04-AUTRES;24/04/2013;15:40;Péage TVA;1,00;1,70;1,42;0,28;1,70;1,42;0,28;19,60;FRANCE;1,70;EUR;0,00;EA25003087 G.VOREPPE;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0190;0;BL338AS;CBSVU 02 03 04 ZZNAVV;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;25/04/2013;10:38;Péage TVA;1,00;7,10;5,94;1,16;7,10;5,94;1,16;19,60;FRANCE;7,10;EUR;0,00;EF25004201 VIENNE;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0197;0;BC652GB;GLX - VP - 02ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;30/04/2013;14:58;Péage TVA;1,00;8,80;7,36;1,44;8,80;7,36;1,44;19,60;FRANCE;8,80;EUR;0,00;EA25003091 CHATUZANGE;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0001;1;AA756VH-VU;SBH-VU-03ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;17/04/2013;08:36;Péage TVA;1,00;8,40;7,02;1,38;8,40;7,02;1,38;19,60;FRANCE;8,40;EUR;0,00;EA25003006 LES ABRETS;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0013;0;AL 029 FA;FILIPI;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;23/04/2013;08:35;Péage TVA;1,00;1,50;1,25;0,25;1,50;1,25;0,25;19,60;FRANCE;1,50;EUR;0,00;EA25003087 G.VOREPPE;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0101;2;AT406ZE;JVD - VU - 02ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;18/04/2013;08:33;Péage TVA;1,00;8,80;7,36;1,44;8,80;7,36;1,44;19,60;FRANCE;8,80;EUR;0,00;EA25003087 G.VOREPPE;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0169;1;BD567FR;PIMT - VU - 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;17/04/2013;19:30;Péage TVA;1,00;1,20;1,00;0,20;1,20;1,00;0,20;19,60;FRANCE;1,20;EUR;0,00;EF25004179 VEAUCHETTE;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0131;2;CH933XV;SRZ - VP - 02ZZZNCOM;701001;03-VEHICULE DE TOURISME;29/04/2013;17:45;Péage TVA;1,00;7,10;5,94;1,16;7,10;5,94;1,16;19,60;FRANCE;7,10;EUR;0,00;EF25004201 VIENNE;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0088;3;BB726KV;YCL - VU - 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;17/04/2013;14:54;Péage TVA;1,00;8,80;7,36;1,44;8,80;7,36;1,44;19,60;FRANCE;8,80;EUR;0,00;EA25003087 G.VOREPPE;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0166;1;CP017HN;LVA - VU - 03ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;19/04/2013;09:22;Péage TVA;1,00;4,50;3,76;0,74;4,50;3,76;0,74;19,60;FRANCE;4,50;EUR;0,00;EA25003087 G.VOREPPE;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0175;0;BN153NG-VU;BMS -VU - 06ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;26/04/2013;14:41;Péage TVA;1,00;2,30;1,92;0,38;2,30;1,92;0,38;19,60;FRANCE;2,30;EUR;0,00;ER25009100 SYSTEME OU;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0015;0;AB 659 TX;DCD - VU -03ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;29/04/2013;09:38;Gazole Premier;42,22;57,65;48,20;9,45;57,65;48,20;9,45;19,60;FRANCE;1,41;EUR;-1,90;TFLCG RELAIS DE LA ROIZE;69350,00;000000;00000000000;0000;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0139;2;CG858TX;BFN - VU - 03ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;29/04/2013;08:23;Gazole Excellium;49,88;70,10;58,61;11,49;70,10;58,61;11,49;19,60;FRANCE;1,45;EUR;-2,25;TFLCA S.A.S ETS DREVET ROBERT;35735,00;000000;00000000000;0000;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0030;0;AS 566 ZP;AGE - VP - 04ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;24/04/2013;12:56;Gazole Premier;40,88;55,41;46,33;9,08;55,41;46,33;9,08;19,60;FRANCE;1,40;EUR;-1,84;TFJKP RELAIS DE DRUMETTAZ;141414,00;000000;00000000000;0000;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0015;0;AB 659 TX;DCD - VU -03ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;29/04/2013;09:50;Péage TVA;1,00;1,70;1,42;0,28;1,70;1,42;0,28;19,60;FRANCE;1,70;EUR;0,00;EA25003087 G.VOREPPE;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0110;2;BZ150PV;HFY - VU - 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;19/04/2013;14:31;Péage TVA;1,00;0,70;0,59;0,11;0,70;0,59;0,11;19,60;FRANCE;0,70;EUR;0,00;EF25004205 VALENCE-S;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0006;0;CB764FQ;MMT - VP - 03ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;16/04/2013;14:27;Péage TVA;1,00;3,50;2,93;0,57;3,50;2,93;0,57;19,60;FRANCE;3,50;EUR;0,00;EA25003004 BOURGOIN;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0210;0;CT243EH;FBT - VU - 03ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;30/04/2013;00:00;GESTION +;1,00;2,99;2,50;0,49;2,99;2,50;0,49;19,60;;2,99;EUR;0,00;;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0011;0;CC034GR;JMB - VU - 03ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;24/04/2013;09:31;Péage TVA;1,00;3,20;2,68;0,52;3,20;2,68;0,52;19,60;FRANCE;3,20;EUR;0,00;EA25003005 TOUR PIN;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0011;0;CC034GR;JMB - VU - 03ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;25/04/2013;15:14;Péage TVA;1,00;1,50;1,25;0,25;1,50;1,25;0,25;19,60;FRANCE;1,50;EUR;0,00;EA25003023 LE TOUVET;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0177;0;6448WK26-VU;BEGD - VU -04ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;30/04/2013;15:22;Péage TVA;1,00;5,20;4,35;0,85;5,20;4,35;0,85;19,60;FRANCE;5,20;EUR;0,00;EA25003026 CHIGNIN B;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0205;0;CS190QB;BVI - VU - 04ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;30/04/2013;00:00;GESTION +;1,00;3,29;2,75;0,54;3,29;2,75;0,54;19,60;;3,29;EUR;0,00;;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0199;0;BE542EP;SMR - VU - 06ZZZSTE;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;22/04/2013;07:55;Péage TVA;1,00;0,50;0,42;0,08;0,50;0,42;0,08;19,60;FRANCE;0,50;EUR;0,00;ER25009400 SYSTEME OU;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0175;0;BN153NG-VU;BMS -VU - 06ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;26/04/2013;11:02;Péage TVA;1,00;2,70;2,26;0,44;2,70;2,26;0,44;19,60;FRANCE;2,70;EUR;0,00;ER25009221 VILLEFRAN.;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0143;2;CN589RC;DGZ - VP - 03ZZZNCOM;701001;03-VEHICULE DE TOURISME;24/04/2013;18:49;Péage TVA;1,00;6,10;5,10;1,00;6,10;5,10;1,00;19,60;FRANCE;6,10;EUR;0,00;EA25003087 G.VOREPPE;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0004;0;BQ 989 CN;JVA - VP - 03ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;23/04/2013;08:42;Péage TVA;1,00;2,80;2,34;0,46;2,80;2,34;0,46;19,60;FRANCE;2,80;EUR;0,00;EA25003085 RIVES;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0166;1;CP017HN;LVA - VU - 03ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;25/04/2013;09:26;Péage TVA;1,00;4,50;3,76;0,74;4,50;3,76;0,74;19,60;FRANCE;4,50;EUR;0,00;EA25003087 G.VOREPPE;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0138;2;BR116XL;CSS - VP -04ZZZNADM;701001;03-VEHICULE DE TOURISME;22/04/2013;09:42;Péage TVA;1,00;4,60;3,85;0,75;4,60;3,85;0,75;19,60;FRANCE;4,60;EUR;0,00;EA25003008 CHAMBERY N;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0089;3;CN248ML;ACN-VU-06ZZZAAUD+4+3+2-;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;22/04/2013;18:34;Péage TVA;1,00;1,60;1,34;0,26;1,60;1,34;0,26;19,60;FRANCE;1,60;EUR;0,00;EF25004205 VALENCE-S;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0142;2;AP655QE;OFE - VU - ZZZZZTLIV;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;17/04/2013;10:36;Gazole Excellium;50,84;71,96;60,17;11,79;71,96;60,17;11,79;19,60;FRANCE;1,46;EUR;-2,29;TFLFT RELAIS DE CHAMARETTE;242500,00;000000;00000000000;0000;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0185;0;BR636QC;NLR VP 06ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;16/04/2013;07:49;Péage TVA;1,00;1,90;1,59;0,31;1,90;1,59;0,31;19,60;FRANCE;1,90;EUR;0,00;EA25003071 CHESNES IA;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0089;3;CN248ML;ACN-VU-06ZZZAAUD+4+3+2-;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;25/04/2013;06:56;Péage TVA;1,00;1,60;1,34;0,26;1,60;1,34;0,26;19,60;FRANCE;1,60;EUR;0,00;EF25004206 LORIOL;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0129;2;BG737RK;BEFN - VU - 03ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;29/04/2013;13:05;Péage TVA;1,00;7,20;6,02;1,18;7,20;6,02;1,18;19,60;FRANCE;7,20;EUR;0,00;EA25003062 VILLEFONT.;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0100;2;CN355BQ;MZI -VU - 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;29/04/2013;08:16;Péage TVA;1,00;1,60;1,34;0,26;1,60;1,34;0,26;19,60;FRANCE;1,60;EUR;0,00;EF25004206 LORIOL;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0004;0;BQ 989 CN;JVA - VP - 03ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;24/04/2013;09:44;Péage TVA;1,00;1,50;1,25;0,25;1,50;1,25;0,25;19,60;FRANCE;1,50;EUR;0,00;EA25003086 VOIRON;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0106;2;BW482YW;CTE - VP - 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;26/04/2013;14:12;Péage TVA;1,00;3,50;2,93;0,57;3,50;2,93;0,57;19,60;FRANCE;3,50;EUR;0,00;EF25004179 VEAUCHETTE;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0088;3;BB726KV;YCL - VU - 02ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;24/04/2013;08:12;Péage TVA;1,00;2,10;1,76;0,34;2,10;1,76;0,34;19,60;FRANCE;2,10;EUR;0,00;EF25004207 MONTELIMAR;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0040;5;CK354LL;SFR-VP-02+03+04+06ZZZNAV;701001;03-VEHICULE DE TOURISME;25/04/2013;08:10;Gazole Excellium;41,17;57,44;48,03;9,41;57,44;48,03;9,41;19,60;FRANCE;1,44;EUR;-1,86;TFLPA SARL RELAIS DE CHARMES;11880,00;000000;00000000000;0000;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0175;0;BN153NG-VU;BMS -VU - 06ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;30/04/2013;00:00;FRAIS DE SERVICE PEAGE PARKING;1,00;0,18;0,15;0,03;0,18;0,15;0,03;19,60;;0,18;EUR;0,00;;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0132;2;CH226XW;FRDN - VP - 02ZZZNCOM;701001;03-VEHICULE DE TOURISME;24/04/2013;17:52;Péage TVA;1,00;2,10;1,76;0,34;2,10;1,76;0,34;19,60;FRANCE;2,10;EUR;0,00;EF25004207 MONTELIMAR;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0195;0;BK301TD;TBT - VP - 50/2+6ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;24/04/2013;10:08;Gazole Premier;49,53;65,40;54,68;10,72;65,40;54,68;10,72;19,60;FRANCE;1,40;EUR;-3,96;TFLTU RELAIS ST ETIENNE MASSENET;62703,00;000000;00000000000;0000;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0122;2;CL728KQ;VRT - VP - 02ZZZNCOM;701001;03-VEHICULE DE TOURISME;30/04/2013;00:00;FRAIS DE SERVICE PEAGE;1,00;0,36;0,30;0,06;0,36;0,30;0,06;19,60;;0,36;EUR;0,00;;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0209;0;BG462RK;NPT - VU - 04ZZZNADM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;30/04/2013;00:00;Carte à puce offline;1,00;8,22;6,87;1,35;8,22;6,87;1,35;19,60;;8,22;EUR;0,00;;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0113;2;CA575XP;JPS - VU - 06ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;17/04/2013;16:06;Péage TVA;1,00;1,50;1,25;0,25;1,50;1,25;0,25;19,60;FRANCE;1,50;EUR;0,00;ER25009400 SYSTEME OU;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0185;0;BR636QC;NLR VP 06ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;17/04/2013;19:03;Péage TVA;1,00;1,90;1,59;0,31;1,90;1,59;0,31;19,60;FRANCE;1,90;EUR;0,00;EA25003071 CHESNES IA;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0175;0;BN153NG-VU;BMS -VU - 06ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;30/04/2013;00:00;FRAIS DE SERVICE PEAGE;1,00;2,37;1,98;0,39;2,37;1,98;0,39;19,60;;2,37;EUR;0,00;;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0186;0;BZ851LF;LJO VU 06ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;15/04/2013;08:23;Péage TVA;1,00;2,70;2,26;0,44;2,70;2,26;0,44;19,60;FRANCE;2,70;EUR;0,00;ER25009221 VILLEFRAN.;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0036;0;BZ469LF;SBT - VU -04ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;17/04/2013;09:03;Gazole Excellium;44,89;63,54;53,13;10,41;63,54;53,13;10,41;19,60;FRANCE;1,46;EUR;-2,02;TFLDC SARL SADRA;40664,00;000000;00000000000;0000;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0006;0;CB764FQ;MMT - VP - 03ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;20/04/2013;16:33;Péage TVA;1,00;2,90;2,42;0,48;2,90;2,42;0,48;19,60;FRANCE;2,90;EUR;0,00;EA25003001 LYON B;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0017;0;BL441LF;RPC - VU - 03ZZZSTEC;701001;04-AUTRES;18/04/2013;14:13;Parking;1,00;3,00;2,51;0,49;3,00;2,51;0,49;19,60;FRANCE;3,00;EUR;0,00;H5250AN380 GRENOBLE;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0165;1;CP070HN;MCT - VU- 03ZZZNCOM;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;19/04/2013;08:46;Péage TVA;1,00;1,10;0,92;0,18;1,10;0,92;0,18;19,60;FRANCE;1,10;EUR;0,00;EA25003087 G.VOREPPE;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0139;2;CG858TX;BFN - VU - 03ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;22/04/2013;18:02;Péage TVA;1,00;1,70;1,42;0,28;1,70;1,42;0,28;19,60;FRANCE;1,70;EUR;0,00;EA25003087 G.VOREPPE;;;;;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0029;0;AK 224 ZN;CBT - VU - 04ZZZSTEC;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;24/04/2013;17:10;Gazole Excellium;38,53;53,76;44,95;8,81;53,76;44,95;8,81;19,60;FRANCE;1,44;EUR;-1,74;TFLGS M. GUEBEY PIERRE;105133,00;000000;00000000000;0000;
;F3913521;;30/04/2013;TF;87037290;C PRO VALENCE;***;***;0190;0;BL338AS;CBSVU 02 03 04 ZZNAVV;701001;02-VEHICULE UTILITAIRE/COMMERCIAL;25/04/2013;13:57;Péage TVA;1,00;7,10;5,94;1,16;7,10;5,94;1,16;19,60;FRANCE;7,10;EUR;0,00;EF25004204 VALENCE-N;;;;;
